id,easting,northing,heading,color
2,81153,6974308,90.0,red
3,81350,6974274,91.10473458125273,red
4,81521,6974214,88.0382011840503,red
5,81671,6974154,81.88684341885936,red
6,81153,6974308,90.0,white
7,81181,6974307,90.09003581880675,red
8,81381,6974266,91.06988656083733,red
9,81553,6974206,87.3408942111372,red
10,81705,6974145,81.06459765274879,red
11,81210,6974304,90.29396543174482,red
12,81414,6974259,90.92119036523158,red
13,81590,6974197,86.59918993084717,red
14,81745,6974137,80.30484382341375,red
15,81239,6974301,90.55279110411625,red
16,81449,6974250,90.64640098979011,red
17,81629,6974188,85.83231145048585,red
18,81787,6974130,79.61400881664227,red
19,81269,6974296,90.81645732707155,red
20,81484,6974242,90.25582756656847,red
21,81668,6974180,85.06186610924578,red
22,81830,6974122,78.98873793724734,red
23,81300,6974290,91.04367574842875,red
24,81520,6974233,89.76714356233758,red
25,81708,6974171,84.30469206988445,red
26,81873,6974115,78.42127035400236,red
27,81332,6974284,91.20250195614277,red
28,81556,6974225,89.20029076495167,red
29,81748,6974163,83.57174828894023,red
30,81915,6974107,77.90172320395257,red
31,81364,6974277,91.27058466373876,red
32,81592,6974216,88.57484885917873,red
33,81787,6974155,82.86874733031769,red
34,81957,6974100,77.41968787599936,red
35,81385,6974273,91.260868523798,white
36,81397,6974270,91.2348087335773,red
37,81628,6974208,87.90849337578298,red
38,81825,6974147,82.19731988560433,red
39,81996,6974094,76.96529435911062,red
40,81430,6974262,91.09034638137302,red
41,81663,6974199,87.21620508616057,red
42,81862,6974140,81.55627428861953,red
43,82034,6974087,76.52983358971912,red
44,81463,6974254,90.8392638937913,red
45,81697,6974191,86.5100571645321,red
46,81897,6974133,80.94276556108186,red
47,82071,6974081,76.10610189360132,red
48,81497,6974246,90.48888833615291,red
49,81731,6974183,85.79942358276267,red
50,81931,6974125,80.35331884550006,red
51,82105,6974075,75.68863276132528,red
52,81530,6974238,90.05014217821454,red
53,81764,6974175,85.09146518394755,red
54,81964,6974119,79.7847131412613,red
55,82137,6974069,75.27392622820022,red
56,81564,6974230,89.53601937798454,red
57,81797,6974167,84.39176830387026,red
58,81996,6974112,79.23473920038761,red
59,82168,6974063,74.86071221811436,red
60,81597,6974221,88.96032155813755,red
61,81829,6974160,83.70502468867569,red
62,82027,6974105,78.70281402146169,red
63,82198,6974057,74.45020447459886,red
64,81630,6974213,88.33671326037299,red
65,81860,6974152,83.03564298051208,red
66,82057,6974099,78.19037473002014,red
67,82227,6974051,74.04621551312094,red
68,81638,6974211,88.17486018724543,white
69,81662,6974205,87.67810188611604,red
70,81891,6974145,82.38817386405276,red
71,82086,6974093,77.70090966140248,red
72,82256,6974046,73.65492655624989,red
73,81695,6974196,86.99630617211649,red
74,81922,6974138,81.76744025691195,red
75,82116,6974087,77.23948266053473,red
76,82285,6974041,73.28411918335144,red
77,81727,6974188,86.30194833587431,red
78,81954,6974131,81.17833966014854,red
79,82147,6974081,76.8117662595892,red
80,82315,6974036,72.9418925902672,red
81,81759,6974180,85.60449037690601,red
82,81986,6974124,80.62542427928543,red
83,82179,6974075,76.42287662204716,red
84,82346,6974031,72.63523860337907,red
85,81792,6974173,84.91233650957712,red
86,82018,6974118,80.11245347443203,red
87,82211,6974070,76.0764289812851,red
88,82379,6974026,72.36897888242542,red
89,81824,6974165,84.23294052230337,red
90,82051,6974112,79.64206804550216,red
91,82245,6974065,75.77405738919624,red
92,82413,6974022,72.14532174395184,red
93,81856,6974158,83.57288173725424,red
94,82085,6974106,79.21562452153641,red
95,82280,6974060,75.51536701837699,red
96,82449,6974018,71.9639486579225,red
97,81889,6974151,82.93789648871378,red
98,82120,6974100,78.83315633426902,red
99,82317,6974056,75.29814900419876,red
100,82486,6974014,71.82238813449045,red
101,81885,6974151,83.0157231475601,white
102,81922,6974144,82.33286810671814,red
103,82156,6974095,78.49341994541784,red
104,82354,6974051,75.11870549146128,red
105,82524,6974011,71.71648022406717,red
106,81956,6974137,81.7617871994402,red
107,82192,6974090,78.19400190279359,red
108,82392,6974047,74.97220323954937,red
109,82564,6974008,71.64083682103107,red
110,81990,6974131,81.22769790785091,red
111,82228,6974085,77.93147685190567,red
112,82430,6974044,74.85302541986117,red
113,82604,6974005,71.58927092740018,red
114,82024,6974125,80.73264677708525,red
115,82265,6974081,77.70160959994067,red
116,82469,6974040,74.75511170320182,red
117,82644,6974002,71.55519244000874,red
118,82059,6974119,80.27764988440997,red
119,82302,6974077,77.49959102863974,red
120,82508,6974037,74.6722802344235,red
121,82684,6973999,71.53197010879035,red
122,82094,6974113,79.8626911757523,red
123,82340,6974072,77.32029378876412,red
124,82547,6974034,74.5985245624157,red
125,82725,6973996,71.51325657296208,red
126,82129,6974108,79.48676082438541,red
127,82377,6974068,77.1585320159952,red
128,82586,6974030,74.52827925281635,red
129,82764,6973993,71.49327272081167,red
130,82147,6974105,79.31286329217731,white
131,82165,6974103,79.14793731572162,red
132,82414,6974065,77.00931025217515,red
133,82624,6974027,74.45665010391063,red
134,82804,6973991,71.46704934317908,red
135,82201,6974098,78.843511606924,red
136,82451,6974061,76.8680494223245,red
137,82662,6974024,74.37960729013759,red
138,82842,6973988,71.43062639138276,red
139,82237,6974093,78.57014690602348,red
140,82488,6974057,76.73078098614099,red
141,82699,6974021,74.2941411057448,red
142,82879,6973985,71.38121134181208,red
143,82273,6974088,78.3240640237468,red
144,82524,6974053,76.59430311461693,red
145,82735,6974018,74.19837941635211,red
146,82916,6973982,71.31729703280581,red
147,82309,6974084,78.10124023719587,red
148,82560,6974050,76.45629438622291,red
149,82771,6974014,74.09166322818336,red
150,82951,6973979,71.23873541334927,red
151,82345,6974080,77.89760918470522,red
152,82595,6974046,76.31538083800491,red
153,82806,6974011,73.97457223683655,red
154,82986,6973976,71.1467571653027,red
155,82381,6974075,77.70925020733303,red
156,82631,6974042,76.17115162328335,red
157,82840,6974008,73.848886979935,red
158,83020,6973973,71.04391966240863,red
159,82417,6974071,77.53255730633508,red
160,82665,6974039,76.02411806437804,red
161,82874,6974005,73.71747068573056,red
162,83054,6973970,70.93396038171998,red
163,82421,6974071,77.51112828668086,white
164,82452,6974067,77.36438001204661,red
165,82700,6974035,75.8756121305025,red
166,82908,6974001,73.58405597679933,red
167,83087,6973967,70.82153498138806,red
168,82488,6974063,77.20213058786416,red
169,82734,6974032,75.72762520922942,red
170,82942,6973998,73.45293346415691,red
171,83119,6973964,70.71183475342647,red
172,82523,6974060,77.04385396107143,red
173,82768,6974028,75.58259694153604,red
174,82975,6973995,73.32856206997296,red
175,83152,6973961,70.61010869387793,red
176,82558,6974056,76.88825863577574,red
177,82803,6974025,75.44317461652005,red
178,83009,6973992,73.21514822003738,red
179,83186,6973958,70.52115249077572,red
180,82593,6974052,76.7347087736303,red
181,82837,6974022,75.31197090169842,red
182,83043,6973989,73.11625877452433,red
183,83219,6973955,70.448850774322,red
184,82628,6974048,76.58317969717532,red
185,82872,6974019,75.19134690692466,red
186,83077,6973986,73.03452812156924,red
187,83253,6973953,70.39585231007317,red
188,82663,6974045,76.4341811491238,red
189,82907,6974016,75.08323915032756,red
190,83112,6973984,72.9714938936492,red
191,83288,6973950,70.36342078170956,red
192,82689,6974042,76.3246462755931,white
193,82698,6974041,76.28865443479707,red
194,82942,6974013,74.98903808822232,red
195,83147,6973981,72.92756257840536,red
196,83324,6973948,70.35145643087023,red
197,82733,6974038,76.14785085700721,red
198,82977,6974010,74.90951783966868,red
199,83183,6973979,72.90208185270774,red
200,83360,6973945,70.35864916453608,red
201,82768,6974035,76.01319958068497,red
202,83013,6974008,74.84481313676605,red
203,83220,6973976,72.89348698713509,red
204,83397,6973943,70.38271161131931,red
205,82803,6974032,75.88617333086738,red
206,83049,6974005,74.79443877158073,red
207,83256,6973974,72.89949072053574,red
208,83434,6973941,70.42064631530847,red
209,82838,6974029,75.7681602227636,red
210,83085,6974003,74.75734659369016,red
211,83293,6973972,72.91729287705886,red
212,83471,6973939,70.46901461880493,red
213,82874,6974026,75.66034953871652,red
214,83122,6974000,74.73201422541248,red
215,83330,6973970,72.94379277713523,red
216,83509,6973937,70.52418781877657,red
217,82910,6974023,75.56363832408009,red
218,83158,6973998,74.71655826378759,red
219,83368,6973968,72.9757926415015,red
220,83547,6973935,70.58257069419601,red
221,82945,6974020,75.47856420398759,red
222,83195,6973996,74.70886342882254,red
223,83405,6973966,73.01018376689042,red
224,83585,6973933,70.64079333278752,red
225,82959,6974019,75.44970329166708,white
226,82981,6974018,75.40526785476042,red
227,83231,6973994,74.70671845197836,red
228,83442,6973964,73.04410977147414,red
229,83622,6973931,70.69587019618812,red
230,83017,6974015,75.34348624386392,red
231,83268,6973991,74.70794966560825,red
232,83479,6973962,73.07510313292708,red
233,83660,6973929,70.74532673939927,red
234,83053,6974013,75.29257533490357,red
235,83304,6973989,74.71054420182499,red
236,83516,6973959,73.10119258002186,red
237,83697,6973927,70.78729410070599,red
238,83089,6974010,75.2515587232333,red
239,83341,6973987,74.71275604820313,red
240,83552,6973957,73.12097970298473,red
241,83733,6973925,70.82057199335448,red
242,83125,6974008,75.21919687971179,red
243,83377,6973985,74.71318978867008,red
244,83588,6973955,73.13368348141736,red
245,83769,6973922,70.84465912256024,red
246,83161,6974005,75.1940705041462,red
247,83413,6973982,74.7108583316728,red
248,83624,6973953,73.1391514439216,red
249,83805,6973920,70.85974959320063,red
250,83198,6974003,75.17467098754216,red
251,83449,6973980,74.70521239836421,red
252,83660,6973950,73.13783630668512,red
253,83841,6973918,70.86669332885307,red
254,83234,6974001,75.1594911121783,red
255,83484,6973977,74.6961409009637,red
256,83695,6973948,73.1307375029376,red
257,83876,6973915,70.86691889597729,red
258,83234,6974001,75.1594911121783,white
259,83269,6973998,75.14710976523351,red
260,83520,6973975,74.68394289793756,red
261,83730,6973946,73.11930859874337,red
262,83910,6973913,70.86231897678937,red
263,83305,6973996,75.13626545807506,red
264,83555,6973973,74.66927353694837,red
265,83765,6973943,73.1053342973439,red
266,83945,6973910,70.85510222825289,red
267,83341,6973993,75.12591468115802,red
268,83590,6973970,74.65306837677893,red
269,83800,6973941,73.09078452592057,red
270,83980,6973908,70.84762023050132,red
271,83377,6973991,75.11527246316109,red
272,83625,6973968,74.63645237168048,red
273,83835,6973938,73.07765700990947,red
274,84014,6973905,70.84218346859187,red
275,83412,6973989,75.10383385292859,red
276,83661,6973965,74.62064126505517,red
277,83869,6973936,73.06782270602042,red
278,84049,6973903,70.8408841939056,red
279,83448,6973986,75.09137633518262,red
280,83696,6973963,74.60684365088676,red
281,83904,6973933,73.0628890320018,red
282,84084,6973900,70.84544472592728,red
283,83483,6973984,75.07794437405994,red
284,83731,6973961,74.59617138175773,red
285,83940,6973931,73.0640936104944,red
286,84118,6973898,70.68937098052359,red
287,83506,6973982,75.06917054800294,white
288,83519,6973982,75.06381829731325,red
289,83766,6973958,74.58956442994031,red
290,83975,6973929,73.07223655281378,red
291,84154,6973897,69.93363457560119,red
292,83554,6973979,75.04947054723075,red
293,83802,6973956,74.58773425524045,red
294,84010,6973926,73.08765369410025,red
295,84189,6973896,68.63718675334839,red
296,83590,6973977,75.03551289920935,red
297,83838,6973954,74.59112767307869,red
298,84046,6973924,73.11022805527094,red
299,84224,6973896,66.90247852282981,red
300,83625,6973975,75.02263857224196,red
301,83873,6973952,74.59991146596052,red
302,84082,6973922,73.13943325307343,red
303,84260,6973897,64.6251373903977,red
304,83661,6973972,75.0115632319486,red
305,83909,6973949,74.61397665266144,red
306,84118,6973920,72.84537390134578,red
307,84295,6973899,61.78831098041835,red
308,83697,6973970,75.00296872834,red
309,83945,6973947,74.63296033106397,red
310,84154,6973919,72.02501791643235,red
311,84330,6973902,58.8227198468334,red
312,83732,6973968,74.99745303218751,red
313,83981,6973945,74.65628225285073,red
314,84190,6973918,70.64327475326108,red
315,84366,6973906,55.82121114452631,red
316,83768,6973965,74.99548925894102,red
317,84017,6973943,74.68319271911939,red
318,84226,6973919,68.67291307309226,red
319,84401,6973912,53.051929471116686,red
320,83777,6973965,74.99559432669034,white
321,83804,6973963,74.99739592648164,red
322,84054,6973941,74.71282800102391,red
323,84262,6973920,66.35376308012854,red
324,84436,6973917,50.82273238516615,red
325,83840,6973961,75.00331972984146,red
326,84090,6973939,74.68786008947954,red
327,84297,6973922,63.58780423448298,red
328,84470,6973924,48.99539128721558,red
329,83876,6973959,75.01323119193647,red
330,84126,6973937,74.25350427911486,red
331,84333,6973925,60.91268144303694,red
332,84504,6973930,47.612771099209084,red
333,83911,6973957,75.02693263855646,red
334,84162,6973936,73.32786942524324,red
335,84368,6973929,58.24778499516039,red
336,84538,6973937,46.57511747830534,red
337,83947,6973954,75.04407712114377,red
338,84197,6973935,71.88485448848357,red
339,84402,6973934,55.75197205503497,red
340,84572,6973944,45.87283817136191,red
341,83983,6973952,75.06419623838903,red
342,84233,6973936,69.89793579961018,red
343,84436,6973940,53.55116817997111,red
344,84605,6973952,45.47703631185998,red
345,84019,6973950,75.08673433329291,red
346,84268,6973937,67.66547710641643,red
347,84470,6973945,51.802584672436765,red
348,84638,6973959,45.18805352517518,red
349,84055,6973948,75.11108629080721,red
350,84302,6973940,64.78358047325413,red
351,84504,6973952,50.342877846468994,red
352,84670,6973968,45.24787459543984,red
353,84051,6973948,75.1079642595003,white
354,84091,6973945,75.05857689605328,red
355,84337,6973943,62.16141981751432,red
356,84537,6973959,49.26320624444024,red
357,84702,6973976,45.252188323433614,red
358,84127,6973944,74.56137170444522,red
359,84371,6973947,59.675642580269034,red
360,84570,6973966,48.460236473594925,red
361,84734,6973984,45.307817126741995,red
362,84162,6973943,73.59072482451019,red
363,84405,6973951,57.428610031924364,red
364,84603,6973973,47.886002845040565,red
365,84766,6973992,45.384892357188605,red
366,84198,6973942,72.16670011979008,red
367,84440,6973956,55.45881536326766,red
368,84635,6973981,47.50142905932892,red
369,84798,6974000,45.476945640443844,red
370,84233,6973943,70.31035718517273,red
371,84474,6973962,53.78508549258028,red
372,84668,6973989,47.27511082922614,red
373,84830,6974009,45.581058939557096,red
374,84268,6973944,68.07806220806067,red
375,84508,6973969,52.38096859367928,red
376,84702,6973997,47.19387413569371,red
377,84863,6974018,45.72048268210547,red
378,84303,6973946,65.64806209581957,red
379,84542,6973976,51.270705906147775,red
380,84735,6974007,47.22302249823398,red
381,84896,6974029,45.87358663365877,red
382,84321,6973948,64.41291239210207,white
383,84338,6973950,63.187507825777224,red
384,84577,6973984,50.43529324535499,red
385,84770,6974017,47.34501108069771,red
386,84931,6974040,46.04565840986069,red
387,84373,6973954,60.82053890318329,red
388,84612,6973993,49.84932639896267,red
389,84805,6974028,47.543651481248965,red
390,84967,6974052,46.241199379273446,red
391,84408,6973959,58.63457733605644,red
392,84648,6974003,49.49194925998864,red
393,84842,6974040,47.7994360093236,red
394,85004,6974065,46.45590635592154,red
395,84443,6973965,56.68630030643984,red
396,84684,6974014,49.32403593277619,red
397,84879,6974053,48.10039376798256,red
398,85043,6974079,46.69512171174784,red
399,84478,6973972,55.00718160954604,red
400,84720,6974026,49.308363786222,red
401,84917,6974067,48.434354200002375,red
402,85082,6974093,46.959467470632404,red
403,84514,6973980,53.6085516309169,red
404,84757,6974038,49.41243960569734,red
405,84955,6974081,48.788428395698865,red
406,85122,6974108,47.24397976173554,red
407,84549,6973988,52.486162372098086,red
408,84794,6974051,49.606132193515236,red
409,84994,6974095,49.15069302444473,red
410,85162,6974124,47.54132693007155,red
411,84585,6973998,51.62425644497092,red
412,84831,6974064,49.86247532684985,red
413,85033,6974110,49.51022009885348,red
414,85203,6974139,47.84249204118495,red
415,84590,6973999,51.533717754879945,white
416,84621,6974008,50.99913597221479,red
417,84868,6974077,50.15805743700897,red
418,85072,6974125,49.85710995584705,red
419,85244,6974155,48.13760094702898,red
420,84657,6974019,50.58222125776074,red
421,84906,6974091,50.473092326548915,red
422,85111,6974139,50.18256701220628,red
423,85284,6974170,48.41677028720816,red
424,84693,6974030,50.34258945580392,red
425,84943,6974104,50.791282694554766,red
426,85149,6974154,50.479026588723485,red
427,85324,6974184,48.67086964670649,red
428,84730,6974042,50.248994093445106,red
429,84980,6974118,51.099575574696786,red
430,85187,6974167,50.74031559821326,red
431,85363,6974198,48.89213281726124,red
432,84766,6974054,50.27138537536436,red
433,85016,6974131,51.387881708362706,red
434,85224,6974181,50.961819825418885,red
435,85400,6974211,49.07459794324588,red
436,84802,6974066,50.38197338948625,red
437,85052,6974143,51.64880194724263,red
438,85260,6974193,51.140633678253764,red
439,85437,6974223,49.21439178183462,red
440,84838,6974079,50.55589563923974,red
441,85087,6974156,51.87737978921504,red
442,85295,6974205,51.27567698767366,red
443,85472,6974235,49.309892281582655,red
444,84865,6974088,50.71478582651116,white
445,84874,6974091,50.77156237083875,red
446,85122,6974167,52.07088208867941,red
447,85330,6974216,51.36777022977213,red
448,85506,6974245,49.361805065905116,red
449,84910,6974103,51.010756261526,red
450,85156,6974179,52.2285987410803,red
451,85363,6974226,51.41965947020948,red
452,85538,6974255,49.373175123153715,red
453,84945,6974115,51.25855801818608,red
454,85190,6974189,52.35164449662468,red
455,85395,6974236,51.435973474864774,red
456,85570,6974264,49.34932804627912,red
457,84980,6974127,51.50315870368723,red
458,85223,6974200,52.44274053327762,red
459,85427,6974245,51.42307958512352,red
460,85600,6974272,49.29770038114934,red
461,85015,6974139,51.73560602470695,red
462,85256,6974210,52.505950786342915,red
463,85458,6974254,51.38878959878408,red
464,85630,6974280,49.22748666741427,red
465,85049,6974150,51.949517884398375,red
